GENE	ENSG	STRAND	CHROM	START	STOP
CYCSP35	ENSG00000233549	-1	13	99281940	99282243
LINC01053	ENSG00000238169	1	13	25755579	25763898
CALM2P4	ENSG00000233662	-1	13	99293068	99293493
LINC01076	ENSG00000225105	-1	13	25767245	25784433
RN7SL60P	ENSG00000243366	1	13	99324234	99324529
RPL23AP69	ENSG00000235315	1	13	25780187	25780644
DOCK9-AS1	ENSG00000229918	1	13	99484338	99486883
BTC	ENSG00000261530	-1	HG706_PATCH	75610476	75660403
AL590787.1	ENSG00000221324	1	13	25820669	25820753
RP11-271M24.2	ENSG00000260509	-1	13	25874262	25875576
RPL7L1P12	ENSG00000231981	-1	13	99601973	99602701
TCEB2P1	ENSG00000234152	-1	13	25939937	25940293
RN7SL289P	ENSG00000265546	-1	13	26027137	26027428
AC142293.3	ENSG00000260666	-1	HG706_PATCH	75418301	75455198
RNU6-83P	ENSG00000207298	1	13	99677488	99677599
RNU6-78P	ENSG00000199767	1	13	26091257	26091363
DOCK9-AS2	ENSG00000260992	1	13	99740073	99740879
RP11-467D10.2	ENSG00000180803	-1	13	26437388	26437805
RPS6P23	ENSG00000230871	1	13	99825847	99826744
RN7SL741P	ENSG00000242381	1	13	26518632	26518891
GAST	ENSG00000260334	1	HG185_PATCH	39868578	39872221
RNY1P3	ENSG00000223158	-1	13	26524842	26524959
LINC00415	ENSG00000231983	-1	13	26626414	26627523
GAPDHP22	ENSG00000234005	-1	13	99842833	99843245
UBAC2-AS1	ENSG00000228889	-1	13	99848631	99852964
ATP8A2P3	ENSG00000233963	-1	13	26688547	26728313
RN7SKP9	ENSG00000201793	1	13	99857962	99858260
H2AFZP3	ENSG00000218502	-1	13	99867626	99868012
MIR623	ENSG00000207719	1	13	100008385	100008482
PRUNEP1	ENSG00000234706	-1	13	26691686	26693102
HMGB3P4	ENSG00000228808	1	13	100024427	100024940
RP11-380N8.6	ENSG00000271559	-1	13	26803469	26803781
CCR12P	ENSG00000238241	-1	13	100060035	100061316
PRKRIRP6	ENSG00000227882	1	13	26808350	26811266
AL583784.1	ENSG00000266207	-1	13	100105650	100105723
LINC00449	ENSG00000203441	-1	13	100151981	100153306
RPS3AP44	ENSG00000234031	1	13	27151023	27151812
RNY3P6	ENSG00000212197	-1	13	100188573	100188650
LINC01039	ENSG00000234168	1	13	100229366	100232622
WASF3-AS1	ENSG00000237001	-1	13	27180681	27215501
CFL1P8	ENSG00000234239	1	13	100234960	100235434
FGFR1OP2P1	ENSG00000230256	1	13	27479499	27479998
RPS21P8	ENSG00000223782	1	13	27551680	27551926
MIR4306	ENSG00000263615	1	13	100295313	100295403
RPS20P32	ENSG00000218198	-1	13	27591688	27592046
CLYBL-AS2	ENSG00000227659	-1	13	100342335	100343225
USP12-AS1	ENSG00000232162	1	13	27736992	27743272
CLYBL-AS1	ENSG00000234303	-1	13	100378501	100379745
USP12-AS2	ENSG00000230641	1	13	27746396	27757135
LINC00412	ENSG00000234772	-1	13	27810419	27810948
SNORA25	ENSG00000201245	-1	13	100436111	100436237
snoU13	ENSG00000238305	-1	13	100436308	100436411
SNORD102	ENSG00000207500	1	13	27829201	27829272
LINC00554	ENSG00000260738	-1	13	100647153	100650163
SNORA27	ENSG00000207051	1	13	27829538	27829663
AL159977.1	ENSG00000221756	1	13	27894150	27894296
NDUFA12P1	ENSG00000225999	-1	13	100680023	100680428
RNU6-70P	ENSG00000252247	-1	13	27917785	27917883
LINC01079	ENSG00000229609	1	13	27947485	27948503
ASNSP3	ENSG00000236554	-1	13	100714550	100715855
RNY1P1	ENSG00000201242	-1	13	27976613	27976724
AL137059.1	ENSG00000203602	-1	13	28008286	28008752
RNU6-63P	ENSG00000252499	1	13	28062275	28062369
RPL15P18	ENSG00000228501	-1	13	100802735	100803346
NPM1P4	ENSG00000226703	-1	13	28270530	28271341
HAP1	ENSG00000261125	-1	HG185_PATCH	39873994	39890896
RP11-340C20.3	ENSG00000270632	-1	13	100850441	100850723
RNU6-73P	ENSG00000207330	1	13	28402900	28403006
PCCA-AS1	ENSG00000234650	-1	13	101116694	101133411
PDX1-AS1	ENSG00000247381	-1	13	28407581	28495541
LINC00543	ENSG00000260704	1	13	28527663	28529507
RN7SL272P	ENSG00000242360	-1	13	28563435	28563721
RP11-151A6.4	ENSG00000224356	-1	13	101187995	101232371
KATNBL1P1	ENSG00000271026	1	13	28641724	28642471
CHCHD2P8	ENSG00000235115	1	13	28681568	28682014
RPS26P47	ENSG00000234354	-1	13	101192089	101192528
PAN3-AS1	ENSG00000261485	-1	13	28710980	28712330
COX5BP6	ENSG00000237082	-1	13	101276129	101276683
EEF1A1P3	ENSG00000232587	1	13	28788650	28790034
RNU6-82P	ENSG00000200840	1	13	28806638	28806744
NALCN-AS1	ENSG00000233009	1	13	101360579	101711638
EIF4A1P7	ENSG00000235472	1	13	29172970	29174189
RNU6-53P	ENSG00000202237	-1	13	29277839	29277944
ARF4P3	ENSG00000214051	-1	13	101408805	101409313
CYP51A1P2	ENSG00000233588	-1	13	29296523	29298158
LINC00411	ENSG00000229599	-1	13	101593116	101596618
POM121L13P	ENSG00000236339	1	13	29352695	29353074
RP11-397O8.7	ENSG00000272349	-1	13	102369198	102369728
AL596092.1	ENSG00000221670	1	13	29796699	29796778
RNU1-24P	ENSG00000201155	-1	13	102431234	102431398
MTUS2-AS2	ENSG00000236758	-1	13	29813516	29824691
HMGB3P7	ENSG00000215399	1	13	102454228	102454838
MIR2681	ENSG00000265164	-1	13	102619992	102620096
GAPDHP69	ENSG00000223460	1	13	29880915	29881922
LIPT1P1	ENSG00000229975	1	13	102654475	102655660
RP11-351N4.4	ENSG00000270680	-1	13	29913703	29914006
RNY1P2	ENSG00000201690	-1	13	102669303	102669419
MTUS2-AS1	ENSG00000179141	-1	13	30050652	30064242
MIR4705	ENSG00000264482	-1	13	102698284	102698354
RPL39P29	ENSG00000236860	-1	13	102915396	102915552
TIMM8BP1	ENSG00000236258	-1	13	30440096	30440306
LINC00297	ENSG00000224329	-1	13	30446750	30462542
FGF14-IT1	ENSG00000243319	-1	13	102944677	103046869
LINC00572	ENSG00000224405	-1	13	30492784	30500788
FGF14-AS1	ENSG00000234445	1	13	103019889	103026016
LINC00544	ENSG00000122043	1	13	30510042	30524625
FGF14-AS2	ENSG00000272143	1	13	103046980	103048053
RP11-629E24.2	ENSG00000266505	-1	13	30596158	30597937
RP11-811P12.3	ENSG00000270581	-1	13	103053821	103054807
LINC00555	ENSG00000261057	-1	13	103241722	103242163
LINC00365	ENSG00000224511	-1	13	30677315	30683012
RP11-29B2.5	ENSG00000269942	1	13	103331776	103332308
LINC00384	ENSG00000232117	-1	13	30726023	30733758
snoU13	ENSG00000238869	1	13	103374152	103374255
LINC00283	ENSG00000231633	1	13	103395340	103397574
LINC00385	ENSG00000232643	1	13	30728203	30728723
RNY5P8	ENSG00000222301	1	13	103472343	103472419
AL356750.1	ENSG00000266816	-1	13	30780753	30780836
RNU6-64P	ENSG00000252928	1	13	30855902	30856006
METTL21EP	ENSG00000250878	1	13	103532449	103548383
PRDX2P1	ENSG00000215049	1	13	30870284	30870872
RP11-255P5.2	ENSG00000272542	1	13	103541208	103542184
LINC00427	ENSG00000236463	-1	13	30890497	30894040
RP11-123H22.1	ENSG00000234551	1	13	104077550	104080035
ATP6V1G1P7	ENSG00000230474	-1	13	104096970	104097318
RPL7P45	ENSG00000225823	1	13	105466678	105467420
DAOA-AS1	ENSG00000232307	-1	13	106111404	106158030
LINC00426	ENSG00000238121	-1	13	30914407	30951282
LINC00343	ENSG00000226620	1	13	106356629	106416789
LINC01058	ENSG00000225039	-1	13	30993656	30996374
JUP	ENSG00000261577	-1	HG185_PATCH	39910856	39943183
SNORA25	ENSG00000252550	-1	13	106549872	106549992
UBE2L5P	ENSG00000236444	1	13	31002084	31002656
AL603632.1	ENSG00000222643	1	13	106780720	106780837
RNA5SP38	ENSG00000222682	-1	13	106807721	106807839
RBM22P2	ENSG00000213411	-1	13	31113734	31117598
LINC00460	ENSG00000233532	1	13	107028911	107030565
MFAP1P1	ENSG00000232489	-1	13	31115780	31117034
RPL35P9	ENSG00000174418	1	13	107078121	107078470
PTPN2P2	ENSG00000224117	1	13	31127807	31128830
LINC00551	ENSG00000272274	1	13	107270158	107283707
LINC00443	ENSG00000230156	1	13	107306264	107324511
LINC00398	ENSG00000237879	1	13	31377343	31384782
ATP5G1P5	ENSG00000227590	1	13	107315785	107316195
PPIAP24	ENSG00000174408	-1	13	107516164	107516634
TEX26-AS1	ENSG00000224743	-1	13	31456070	31507983
AL162574.1	ENSG00000196777	-1	13	107594562	107594907
AL354741.1	ENSG00000239050	-1	13	107627286	107627374
AL445204.1	ENSG00000221316	1	13	107773381	107773471
SNORD31	ENSG00000201847	-1	13	107973243	107973311
MIR1267	ENSG00000221650	-1	13	108183519	108183596
AL138710.1	ENSG00000221473	1	13	108288379	108288464
FAM155A-IT1	ENSG00000227248	-1	13	108440690	108487799
RNA5SP39	ENSG00000223177	-1	13	108953560	108953679
HCFC2P1	ENSG00000232087	1	13	109132574	109134165
MYO16-AS2	ENSG00000229938	-1	13	109753609	109754267
LINC00545	ENSG00000236094	1	13	31456688	31457532
MYO16-AS1	ENSG00000236242	-1	13	109816250	109853831
RP11-252M21.6	ENSG00000238185	-1	13	31547426	31551760
LINC00370	ENSG00000223617	1	13	109934321	109940081
AF240627.2	ENSG00000230233	1	21	19986749	20022678
LINC01066	ENSG00000230403	-1	13	31569299	31570275
LINC01067	ENSG00000236053	1	13	109962483	109964121
LEPREL4	ENSG00000261163	-1	HG185_PATCH	39958199	39968855
MIR548X	ENSG00000265841	-1	21	20058408	20058482
WDR95P	ENSG00000231894	1	13	31651391	31689836
LINC00399	ENSG00000229792	1	13	110053043	110053988
AP001537.1	ENSG00000221041	-1	21	20076689	20076772
LINC00676	ENSG00000234854	1	13	110380629	110382354
PPIAP22	ENSG00000198618	1	21	20230097	20230594
ANKRD26P4	ENSG00000229427	1	13	31885426	31887058
AL162497.1	ENSG00000255813	-1	13	110407168	110407615
RN7SKP10	ENSG00000201161	1	13	110567443	110567767
LINC00396	ENSG00000231428	1	13	110705632	110707299
AL157359.4	ENSG00000232193	-1	21	20290252	20308177
EEF1DP3	ENSG00000229715	1	13	32420978	32527609
AL157359.3	ENSG00000226204	-1	21	20325582	20339376
RN7SL783P	ENSG00000265885	-1	13	110750200	110750498
snoU13	ENSG00000238629	1	13	111066552	111066653
AP000431.1	ENSG00000235965	-1	21	20418629	20420003
COL4A2-AS2	ENSG00000224821	-1	13	111108743	111115634
LINC01073	ENSG00000235822	1	13	32559822	32565134
AP000431.2	ENSG00000229289	1	21	20502841	20506741
FRY-AS1	ENSG00000237637	-1	13	32599451	32605776
COL4A2-AS1	ENSG00000232814	-1	13	111154922	111160526
SLC6A6P1	ENSG00000226818	1	21	20616860	20618709
RP11-37E23.5	ENSG00000230633	1	13	32872291	32872849
AL139385.1	ENSG00000255831	1	13	111291555	111292340
AP000855.4	ENSG00000231620	1	21	20673930	20676056
IFIT1P1	ENSG00000215515	1	13	32958797	32960245
RPL21P107	ENSG00000225239	-1	13	111415021	111415480
RNU1-139P	ENSG00000212609	1	21	20717465	20717629
LINC00567	ENSG00000259831	-1	13	111462023	111465431
SNORA16	ENSG00000212293	-1	13	32994527	32994653
RPL37P4	ENSG00000230198	1	21	20966155	20966422
RP11-298P3.4	ENSG00000270008	-1	13	32999495	33007091
ANKRD10-IT1	ENSG00000229152	-1	13	111547406	111551519
AP000403.3	ENSG00000271486	1	21	20993009	20993859
AP000568.2	ENSG00000229336	1	21	21112023	21112464
ATP8A2P2	ENSG00000229800	1	13	33051411	33052978
PARP1P1	ENSG00000227105	1	13	111589106	111592131
C1QBPP	ENSG00000215353	-1	21	21131673	21132442
AP000946.2	ENSG00000233480	-1	21	21265593	21272069
LINC00431	ENSG00000225760	1	13	111635654	111642911
AP001171.1	ENSG00000233236	-1	21	21629065	21631133
LINC00368	ENSG00000225870	1	13	111748185	111755444
RNU6-772P	ENSG00000251851	-1	21	21728060	21728164
RN7SKP147	ENSG00000252963	1	21	21728965	21729208
ARHGEF7-AS2	ENSG00000235875	-1	13	111766159	111768025
RNY1P4	ENSG00000207325	-1	13	33337576	33337690
FDPSP6	ENSG00000233676	1	21	21760646	21761157
LINC00423	ENSG00000226968	-1	13	33451569	33485788
ARHGEF7-IT1	ENSG00000233644	1	13	111774999	111796611
KRT18P2	ENSG00000234439	-1	21	21797261	21798518
ARHGEF7-AS1	ENSG00000227352	-1	13	111796652	111797080
TOMM22P3	ENSG00000227604	-1	13	33528195	33528539
RPS3AP1	ENSG00000233206	-1	21	21802755	21803074
AL161898.1	ENSG00000221677	1	13	33615489	33615580
RP11-65D24.1	ENSG00000215881	1	13	112248356	112294426
STARD13-IT1	ENSG00000230300	-1	13	33732724	33738546
FKBP10	ENSG00000261258	1	HG185_PATCH	39968962	39979465
LINC00354	ENSG00000226903	1	13	112554299	112555490
LINC00320	ENSG00000224924	-1	21	22114908	22175534
AL136302.1	ENSG00000264989	-1	13	112563079	112563148
SNORD44	ENSG00000200072	1	13	112706392	112706452
RP11-450H6.3	ENSG00000260385	1	13	112737863	112739785
LINC00404	ENSG00000229520	-1	13	112760409	112761196
PPIAP1	ENSG00000215351	-1	21	22200445	22200940
LINC00403	ENSG00000224243	1	13	112761433	112762329
AP001136.2	ENSG00000226771	-1	21	22595616	22599150
LINC01070	ENSG00000260102	1	13	112851664	112855314
AP001137.1	ENSG00000221210	-1	21	22770068	22770146
AF241725.4	ENSG00000234730	1	21	22939084	22987758
LINC01043	ENSG00000260343	1	13	112967781	112976072
AF241725.1	ENSG00000198434	-1	21	23006773	23007049
LINC01044	ENSG00000223626	-1	13	112976881	112985539
AF241725.6	ENSG00000237527	-1	21	23027359	23058649
AL162711.1	ENSG00000264726	-1	13	113372159	113372228
ATP11A-AS1	ENSG00000232684	-1	13	113399763	113409007
LINC00317	ENSG00000238265	-1	21	23095613	23109639
AL356740.1	ENSG00000234603	1	13	113539551	113539994
STARD13-AS	ENSG00000236581	1	13	33845516	33855471
RP11-120K24.3	ENSG00000267868	-1	13	113619149	113620445
IGHV1OR15-9	ENSG00000188403	-1	15	20169919	20170354
MCF2L-AS1	ENSG00000235280	-1	13	113621798	113623138
RP11-120K24.4	ENSG00000269356	1	13	113663092	113663738
AP000475.2	ENSG00000233997	1	21	23119293	23169735
RP11-120K24.5	ENSG00000269376	1	13	113663985	113664633
F10-AS1	ENSG00000231882	-1	13	113782469	113783194
KARSP2	ENSG00000230371	1	13	113784730	113786368
IGHV3OR15-7	ENSG00000259490	-1	15	20192909	20193370
RP11-98F14.11	ENSG00000269125	-1	13	113819316	113819497
AP000472.3	ENSG00000227075	-1	21	23305635	23348000
LDHBP1	ENSG00000232662	1	13	113930931	113932049
IGHD5OR15-5A	ENSG00000270961	-1	15	20209093	20209115
GRTP1-AS1	ENSG00000225083	1	13	114005988	114016183
AP000472.2	ENSG00000233215	-1	21	23381263	23470778
DCUN1D2-AS	ENSG00000233613	1	13	114123216	114130450
IGHD4OR15-4A	ENSG00000271317	-1	15	20210050	20210068
RNU1-16P	ENSG00000202347	-1	13	114133230	114133393
LINC00552	ENSG00000227208	-1	13	114451484	114454062
IGHD3OR15-3A	ENSG00000270783	-1	15	20211158	20211188
GAS6-AS1	ENSG00000233695	1	13	114518603	114542321
IGHD2OR15-2A	ENSG00000271197	-1	15	20213655	20213685
GAS6-AS2	ENSG00000272695	1	13	114567141	114569806
LINC00308	ENSG00000184856	1	21	23470936	23488847
RP11-141M1.1	ENSG00000227911	-1	13	33907816	33909414
RP11-199F6.4	ENSG00000237699	1	13	114580581	114582349
IGHD1OR15-1A	ENSG00000271336	-1	15	20216406	20216422
AL138999.1	ENSG00000264288	-1	13	33911020	33911109
RN7SL247P	ENSG00000265259	-1	18	21852889	21853170
NT5C3B	ENSG00000260753	-1	HG185_PATCH	39981433	39992515
AP000705.8	ENSG00000234340	-1	21	23507018	23508403
RP11-141M1.3	ENSG00000230490	-1	13	33929343	34250905
MIR320C2	ENSG00000212051	1	18	21901650	21901699
LINC00454	ENSG00000226921	-1	13	114581673	114586624
RP11-621L6.2	ENSG00000264365	1	18	21944751	21947948
RP11-621L6.3	ENSG00000273321	1	18	21982117	21982678
RP11-37L2.1	ENSG00000234535	1	13	34185104	34185659
RP11-179A7.2	ENSG00000232986	1	13	34231573	34234065
Y_RNA	ENSG00000199636	1	18	22009469	22009573
RP11-178F10.1	ENSG00000265094	1	18	22015328	22019602
RNU5A-4P	ENSG00000252397	-1	13	34403676	34403786
AL161891.1	ENSG00000263663	1	13	34486129	34486218
VDAC1P12	ENSG00000227254	-1	13	34656566	34657447
LINC00452	ENSG00000229373	1	13	114586640	114626485
SNORA25	ENSG00000199196	-1	13	34674848	34674975
GOLGA6L6	ENSG00000215405	-1	15	20737094	20747114
RP11-16D22.2	ENSG00000271850	1	13	34922180	35188307
LINC00457	ENSG00000225179	-1	13	35009587	35214822
AP000705.6	ENSG00000231136	-1	21	23526270	23526619
LINC00565	ENSG00000260910	-1	13	114629487	114631817
RP11-266E6.3	ENSG00000271901	-1	13	35120066	35245319
RNU4-45P	ENSG00000202339	1	21	23577511	23577651
RASA3-IT1	ENSG00000232487	-1	13	114873044	114874295
AP000705.7	ENSG00000226043	1	21	23582258	23793139
GAMTP2	ENSG00000231910	-1	13	35148341	35148803
MIR548AR	ENSG00000264539	1	13	115009980	115010036
RP11-307O13.1	ENSG00000261728	-1	13	35499971	35502213
MAPK6PS2	ENSG00000223488	-1	21	23808610	23810669
MIR4502	ENSG00000265450	1	13	115039303	115039383
SCAND3P1	ENSG00000232795	1	13	35759431	35760816
CLCP2	ENSG00000226158	1	13	115072121	115072541
PHBP13	ENSG00000234835	1	13	35825207	35825966
LINC01054	ENSG00000229723	-1	13	115095034	115099423
AC012414.1	ENSG00000268343	1	15	21004687	21005367
AL390071.1	ENSG00000221519	-1	13	36068551	36068674
LINC00445	ENSG00000236036	1	13	36271661	36273393
RNU6-71P	ENSG00000207203	1	13	36841305	36841411
IGHV1OR21-1	ENSG00000169861	1	21	10862622	10863067
AL139377.1	ENSG00000266047	1	13	36929928	36930015
HIST1H2APS6	ENSG00000223383	-1	13	37064215	37064578
AL136160.1	ENSG00000222602	-1	13	37302739	37302829
GAPDHP34	ENSG00000235306	1	13	37314178	37315000
TCEAL4P1	ENSG00000223543	-1	13	37316015	37316602
ARL2BPP3	ENSG00000215486	1	13	37363469	37369187
KLHL10	ENSG00000261631	1	HG185_PATCH	39991937	40004636
POTEB2	ENSG00000230031	-1	15	21040701	21071643
NDE1P2	ENSG00000271337	-1	13	37378335	37379439
SMAD9-AS1	ENSG00000236711	-1	13	37423503	37424183
LAMTOR3P1	ENSG00000228825	1	13	37496676	37497045
RPL29P28	ENSG00000232378	-1	13	37500575	37501356
EIF4A1P5	ENSG00000226161	-1	13	37512537	37513631
AL138706.1	ENSG00000221100	-1	13	37608814	37608929
RN7SKP1	ENSG00000202395	-1	13	37740489	37740795
RPS12P24	ENSG00000230283	-1	13	37794997	37795383
AP000959.2	ENSG00000234034	-1	21	23872924	23892377
LINC01048	ENSG00000230390	-1	13	38055604	38058906
RN7SL609P	ENSG00000263796	1	21	24052992	24053286
RNA5SP26	ENSG00000199276	-1	13	38428989	38429107
AP000949.1	ENSG00000225906	1	21	24254903	24256321
HSPD1P9	ENSG00000228036	-1	13	38567222	38568857
AP001255.2	ENSG00000230972	1	21	24437813	24503528
KLHL11	ENSG00000259896	-1	HG185_PATCH	40009797	40021683
LINC00571	ENSG00000223685	-1	13	38624954	38717369
ZNF299P	ENSG00000219368	-1	21	24462350	24464153
LINC00437	ENSG00000236354	-1	13	39107480	39119436
MSANTD2P1	ENSG00000231058	1	21	24473545	24475396
LINC00366	ENSG00000229437	1	13	39150777	39153131
RNU2-55P	ENSG00000223078	-1	21	24654058	24654231
PRDX3P3	ENSG00000234701	-1	13	39191556	39192077
AP000459.4	ENSG00000228592	-1	21	24733426	24757182
RNU6-56P	ENSG00000252795	1	13	39353561	39353653
AL590007.1	ENSG00000212049	1	13	39364781	39364891
IGHD5OR15-5B	ENSG00000270824	-1	15	21215823	21215845
FREM2-AS1	ENSG00000225350	-1	13	39395935	39401707
PLA2G12AP2	ENSG00000225221	1	13	39476524	39476787
IGHD4OR15-4B	ENSG00000270451	-1	15	21216780	21216798
ANKRD26P2	ENSG00000235550	-1	13	39496864	39510336
EEF1A1P1	ENSG00000223822	1	21	24762579	24763317
IGHD3OR15-3B	ENSG00000271255	-1	15	21217888	21217918
NXT1P1	ENSG00000214823	-1	13	39743773	39744088
IGHD2OR15-2B	ENSG00000271305	-1	15	21220377	21220407
snoU13	ENSG00000238408	-1	13	40021252	40021353
AL512505.1	ENSG00000216014	1	13	40226715	40226806
MIR4305	ENSG00000264171	-1	13	40238171	40238272
TUBAP	ENSG00000237569	-1	21	24779978	24781448
RNY4P14	ENSG00000200526	-1	13	40359552	40359647
CDKN2AIPNLP3	ENSG00000224351	-1	13	40391878	40392186
SECISBP2L	ENSG00000138593	-1	15	49280673	49338760
AZU1P1	ENSG00000270444	-1	13	40430847	40431231
SNORD116	ENSG00000212553	-1	13	40431272	40431364
IGHD1OR15-1B	ENSG00000270185	-1	15	21223129	21223145
LINC00332	ENSG00000230710	1	13	40755946	40763165
RPL17P51	ENSG00000271429	-1	13	40798762	40798999
RNY3P9	ENSG00000207458	1	13	40800964	40801069
DKFZP547L112	ENSG00000268531	1	15	22011370	22012050
RP11-172E9.2	ENSG00000230058	-1	13	40918094	40924440
RN7SKP2	ENSG00000252812	-1	13	40981259	40981577
LINC00598	ENSG00000215483	-1	13	41025131	41055143
RLIMP1	ENSG00000229456	1	13	41192875	41195485
MIR320D1	ENSG00000211491	-1	13	41301964	41302011
MIR621	ENSG00000207652	1	13	41384902	41384997
TPTE2P5	ENSG00000168852	-1	13	41396432	41495890
POTEB	ENSG00000233917	-1	15	22051853	22083227
TPTE	ENSG00000166157	-1	21	10906201	11029719
ACLY	ENSG00000260245	-1	HG185_PATCH	40023160	40075239
CYCSP34	ENSG00000176268	-1	13	41437735	41438038
SUGT1P3	ENSG00000239827	-1	13	41482295	41495910
RGS17P1	ENSG00000229473	-1	13	41566915	41567467
MIR3168	ENSG00000264226	-1	13	41675155	41675236
Y_RNA	ENSG00000199698	-1	21	24804501	24804602
RN7SL597P	ENSG00000244264	1	13	41696012	41696305
AP000459.7	ENSG00000227716	1	21	24849960	24863043
CALM2P3	ENSG00000215482	-1	13	41744836	41745284
